LGA NAME,WARD NAME
,SOMORIKA/OGBE/SARAR O
,ONUMU/ESHAWA/OGUGU IGBOSHI-AFE/IGBOSHI ELE/AIYEGUNLE
,ENWAN/ATTE/IKPESHI/EG BIGERE
,UNEME- NEKHUA/AKPAMA/AIYET ORO/EKPEDO/ERHURUN/U NEME OSU
,OSOSO
,
EGOR,OTUBU
,OLIHA
,OGIDA/USE
,EGOR
,UWELU
,EVBAREKE
,USELU I
,USELU II
,OKHORO
,UGBOWO
,
ESAN CENTRAL,UNEAH
,UWESSAN I
,UWESSAN II
,IKEKATO
,OTORUWO I
,OTORUWO II
,EWU I
,EWU II
,OPOJI
,UGBEGUN
,
ESAN NORTH EAST,EGBELE
,OBEIDU
,ARUE
,UELEN/OKUGBE
,IDUMU-OKOJIE
,UZEA
,AMEDOKHIAN
,EFANDION
,UWALOR
,EWOYI
,UBIERUMU
,
ESSAN SOUTH EAST,ESOHIMI I
,EWOHIMI II
,EWATTO
,OHORDUA
,EMU
,UBIAJA I
,UBIAJA II
,ILLUSHI I
,ILLUSHI II
,UGBOHA
,
ESAN WEST,ILLEH/EKO-INE
,UJIOGBO
,EGORO/IDOA/UKHUN
,EMAUDO/EGUARE/EKPOM A
,IHUNMUDUM/IDUMEBO/U KE/UJEMEN
,IRUEKPEN
,EMUHI/UKPENU/UJOELEN
,UROHI
,UHIELE
,OGWA
,
ETSAKO CENTRAL,FUGAR I
,FUGAR II
,FUGAR III
,OGBONA
,IRAOKHOR
,EKPERI I
,EKPERI II
,EKPERI III
,SOUTH UNEME I
,SOUTH UNEME II
,
ETSAKO EAST,AGENEBODE
,WANNO I
,WANNO II
,WEPPA
,OKPELLA I
,OKPELLA II
,OKPELLA III
,OKPELLA IV
,THREE IBIES
,OKPEKPE
,
ETSAKO WEST,AUCHI
,AUCHI I
,AUCHI II
,AUCHI III
,SOUTH IBIE
,JAGBE
,AVIELE
,ANWAIN
,UZAIRUE NORTH WEST
,UZAIRUE NORTH EAST
,UZAIRUE SOUTH WEST
,UZAIRUE SOUTH EAST
,
IGUEBEN,EKEKHEN/NDUMU
,ODO/EGBIKI
,IDIGUN/IDUMUOKA
,AFUDA/IDUMUOKA
,UHE/IDMUOGBO/IDUMUE KE
,UDO
,OWU/OKUTA/EGBELLE
,OKALO/OKPUJIE
,AMAHOR/UGUN
,EWOSSA
,EKPON
,
IKPOBA/OKHA,IWOGBAN/UTEH
,OREGBENI
,OGBESON
,ADUWAWA/EVBO MODU
,ST. SAVIOUR
,GORRETTI
,UGBEKUN
,IDOGBO
,OBAYANTOR
,OLOGBO
,
OREDO,OGBE
,GRA/ETETE
,UZEBU
,URUBI/EVBIEMWEN/IWEH EN
,IHOGBE/ISEKHERE/OREO GHENE/IBIWE/ICE ROAD
,NEW BENIN I
,NEW BENIN II
,OKEDO
,IKPEMA/EGUADASE
,UNERU/OGBOKA
,OGBELAKA/NEKPEN- NEKPEN
,IBIWE/IWEGIE/UGBAGUE
,
ORHIONMWON,AIBIOKULA I
,AIBIOKULA II
,UGBEKA
,IYOBA
,UGBOKO
,UKPATO
,URHONIGBE NORTH
,URHONIGBE SOUTH
,UGU
,EVBOESI
,IGBANKE EAST
,IGBANKE WEST
,
OVIA NORTH EAST,OKADA WEST
,OKADA EAST
,UHEN
,ADOLOR
,OFUNMWEGBE
,OLUKU
,UHIERE
,ISIUWA
,OKOKHUO
,OGHEDE
,ODUNA
,IGUOSHODUN
,UTOKA
,
OVIA SOUTH WEST,IGUOBAZUWA EAST
,IGUOBAZUWA WEST
,UMAZA
,SILUKO
,UDO
,ORA
,USEM
,UGBOGUI
,OFUNAMA
,NIKOROGHA
,
OWAN EAST,EMAI I
,EMAI II
,IHIEVBE I
,IHIEVBE II
,UOKHA/AKE
,IGUE/IKAO
,IVBIMION
,OTUO I
,OTUO II
,IVBIADAOBI
,WARRAKE
,
OWAN WEST,OZALLA
,UHONMORA
,EME-ORA/OKE
,SABONGIDA/ORA/OGBETU RU
,AVBIOSI
,UKHUSE-OSI
,ERUERE
,OKPUJE
,UZEBBA I
,UZEBBA II
,SOBE
,
UHUNMWODE,EHOR
,UHI
,IGIEDUMA
,IRHUE
,UMAGBAE NORTH
,UMAGBAE SOUTH
,ISI NORTH
,ISI SOUTH
,OHUAN
,EGBEDE
,
ADO EKITI,ADO ‘A’ IDOFIN
,ADO ‘B’ INISA
,ADO ‘C’ IDOLOFIN
,ADO ‘D’ IJIGBO
,ADO ‘E’ IJOKA/ORERE OWU
,ADO ‘F’ OKEYINMI
,ADO ‘G’ OKE-ILA
,ADO ‘H’ EREGURU
,ADO DALLIMORE ‘T’
,ADO ‘J’ OKESA
,ADO ‘K’ IRONA
,ADO ‘L’ IGBEHIN
,ADO ‘M’ FARM SETTLEMENT
,
EFON,EFON I
,EFON II
,EFON III
,EFON IV
,EFON V
,EFON VI
,EFON VII
,EFON VIII
,EFON IX
,EFON X
,
EKITI EAST,OMUO-OKE I
,OMUO-OKE II
,ARAROMI
,KOTA I
,KOTA II
,IJERO/EDUGBE/EKURUGB E WARD VI
,IWORO WARD VII
,ILISA WARD VIII
,ILUDOFIN WARD/ORUJU
,ILASA I/EDA-ILE
,ILASA II/IKUN/ARAROMI
,ISINBODE
,
EKITI WEST,ARAMOKO I
,ARAMOKO II
,ARAMOKO ERIO III
,ERIJIYAN I
,ERIJIYAN II
,IKOGOSIO
,IPOLE-ILORO
,OKEMESI I
,OKEMESI II
,OKEMESI III
,IDO-AJINARE
,
EKITI SOUTH WEST,ILAWE I
,ILAWE II
,ILAWE III
,ILAWE IV
,ILAWE V
,ILAWE VI
,ILAWE VII
,IGBARA ODO I
,IGBARA ODO II
,OGOTUN I
,OGOTUN II
,
EMURE,ODO-EMURE I
,ODO-EMURE II
,ODO-EMURE III
,ODO-EMURE IV
,ODO-EMURE V
,ODO-EMURE VI
,IDAMUDU I
,IDAMUDU II
,OGBONTIORO I
,OGBONTIORO II
,
GBOYIN,RGBE/IRO
,ODE I
,ODE II
,ODE III
,IMESI
,AGBADO
,AISEGBA I
,AISEGBA II
,ILUOMOBA
,IJAN
,
IDO/OSI,IDO I
,IDO II
,IFAKI I
,IFAKI II
,ILOGBO
,USI
,OSI
,ORIN/ORA
,IGBOLE/IFISIN/AAYE
,AYETORO I
,AYETORO II
,
IJERO,IJERO WARD ‘A’
,IJERO WARD ‘B’
,IJERO WARD ‘C’
,IJERO WARD ‘D’
,IPOTI WARD  ‘A’
,IPOTI WARD  ‘B’
,ODO OWA WARD
,IKORO WARD ‘A’
,ILORO WARD ‘B’
,ILORO/IJURIN WARD ‘B’
,EKAMARUN WARD
,EKAMETA WARD
,
IKERE,ATIBA/AAFIN
,OKERUKU
,UGELE/AROKUN
,AGBADO/OYO
,OGBONJANA
,OKE-OSUN
,IDEMO
,ILAPETU/IJAO
,ARE/ARAROMI
,AFAO/KAJOLA/AYETORO
,ODOSE
,
IKOLE,IKOLE WEST I
,IKOLE WEST II
,IKOLE EAST
,IKOLE NORTH
,IKOLE SOUTH
,ARAROMI/BALORUNDURO
,IJESA ISU
,ODO AYEDUN I
,ODO AYEDUN/AYEBODE
,OKE AYEDUN/ESUN
,IPA/OKE AKO/IRELE
,ITAPAJI/IYEMERO
,
ILEJEMEJE,EWU
,EDA ONIYO
,OBADA
,IYE I
,IYE II
,IYE III
,IJESAMODU
,ILUDUN I
,ILUDUN II
,IPERE
,
IREPODU/IFELO DUN,AFAO
,ARE
,AWE
,AWO
,IGBEMO
,IGBEDE I
,IGBEDE II
,IGBEDE III
,IROPORA/ESURE/EYIO
,IWOROKO
,IYIN I
,IYIN II
,
ISE/ORUN,ODO ISE I
,ODO ISE II
,ODO ISE III
,ERINWA I
,ERINWA II
,ORAYE I
,ORAYE II
,ORAYE III
,ORUN I
,ORUN II
,
MOBA,OTUN I
,OTUN II
,OTUN III
,IGOGO I
,IGOGO II
,ERINMOPE I
,ERINMOPE II
,IKUN I
,IKUN II
,OSUN
,OSAN
,
OYE,ITAPA/OSUN
,OYE I
,OYE II
,AYEGBAJU
,ILUPEJU I
,ILUPEJU II
,IRE I
,IRE II
,AYEDE NORTH
,AYEDE SOUTH ITAJI
,ISAN/ILAFON/ILEMESO
,OMU OKE/OMU ODO I/IJELUU
,
,
,
,
,
,
ANINRI,ODUMA I
,ODUMA II
,ODUMA III
,ODUMA IV
,NNENWE I
,NNENWE II
,NNENWE III
,NDEABO
,OKPANKU
,MPU
,
AWGU,AWGU I
,AWGU II
,MGBOWO
,AGBOGUGU
,IHE
,OBEAGU
,MGBIDI/MMAKU
,ANIKENANO/UGUEME
,OWELLI/AMOLI/UGBO/ OGUGU
,ISIAWA/OGUGU/AGBUD U ITUKU
,OGBAKU
,
ENUGU-EAST,ABAKPA I
,ABAKPA II
,UMUENWENE
,AMORJI
,MBULUIYIUKWU
,MBULUOWEHE
,MBULU-NJODO WEST
,UMUOCHIGBO
,TRANS EKULU
,IBAGWA-NIKE/EDEM
,UGWUGO NIKE
,MBULU-NJODO EAST
,
ENUGU-NORTH,ASATA TOWNSHIP
,OMUNEVO
,IHEWUZI
,ONU-ASATA
,OGBETTE EAST
,OGBETTE WEST
,GRA
,OGUI NEW LAYOUT
,CHINA TOWN
,NEW HAVEN
,INDEPENDENCE LAYOUT
,UDI SIDING/IVA VALLAY
,OGUI TOWNSHIP
,
ENUGU-SOUTH,AMECHI I
,AMECHI II
,OBEAGU I
,UWANI EAST
,UWANI WEST
,ACHARA LAYOUT EAST
,ACHARA LAYOUT WEST
,AWKUNANAW EAST
,AWKUNANAW WEST
,UGWU AJI
,OBEAGU II
,AKWUKE
,MARYLAND
,
EZEAGU,OLO/AMAGU/UMULIKP A
,AWHA
,AGUOBU-OWA I
,AGUOBU-OWA II
,UMANA NDIAGU
,AGBA UMANA
,UGUOBU (UMUMBA)
,UMUMBA NDIUMO
,OCHE I
,OCHE II
,IMERI OWA I
,IMERI OWA II
,MGBAGBU OWA I
,MGBAGBU OWA II
,MGBAGBU OWA III
,IWLLO
,OBINOFIA
,OKPOGHO
,OBEAGU IMAN
,OLO/AMAGU/UMULOK PA
,
IGBO ETITI,AKU I
,AKU II
,AKU III
,AKU IV
,AKU V/IDIEME
,EKWEGBE I
,EKWEGBE II
,OHAODO I
,OHAODO II
,OZZALLA I
,OZZALLA II
,DIOGBE/UMUNKO
,IKOLI/OHEBE
,ONYOHOR/OCHIMA/ID OHA
,EJUONA/UDEME
,UKEHE I
,UKEHE II
,UKEHE III
,UKEHE IV
,UKEHE V
,
IGBO-EZE NORTH,ESSODO I
,ESSODO II
,ESSODO III
,ETTE I
,ETTE II
,ETTE CENTRAL
,UMUITODO
,UMUITODO
,UMUITODO
,ESSODO
,UMUOZZI I
,UMUOZZI II
,UMUOZZI III
,UMUOZZI IV
,UMUOZZI V
,UMUOZZI VI
,UMUOZZI VII
,UMUOZZI VIII
,UMUOZZI IX
,UMUOZZI X
,
IGBO-EZE SOUTH,OLOR AGU
,AMAEBO/HAUSA/YORU BA
,EZEMA WARD
,ECHARA
,IHEAKA (UGO AKOYI WARD)
,IHEAKA (LIKKI/AKUTARA WARD)
,IHEAKPU EZZINGWU
,IHEAKPU AJUONA OGBUGU
,ITCH UWANI I
,ITCHI UWANI II
,NKALAGU OBUKPA
,OVOKO AJUONA
,OVOKO UMUELO/OVOKOAGU
,OVOKO UMULOLO
,UHUNOWERRE
,UNADU
,
ISI-UZO,IKEM  I
,IKEM II
,NEKE I
,NEKE II
,MBU I
,MBU II
,UMUALOR
,EHA-MUFU I
,EHA-MUFU II
,EHA-MUFU III
,EHA-MUFU IV
,
NKANU EAST,AMECHI/IDODO/ORUK U
,AMANKANU/OGBAHU
,AKPAWFU/ISIENU/AMA NGUNZE
,IHUOKPARA
,NARA I
,NARA II
,NKEREFI I
,NKEREFI II
,AMAGUNZE
,UGBAWKA I
,UGBAWKA II
,MOMEH
,MBURUBU
,OWO
,
NKANU WEST,AGBANI
,AMURRI
,AKEGBE-UGWU (OKWUO)
,AMODU
,OBUOFFIA
,OBE
,OZALLA
,AKPUGO I
,AKPUGO II
,AKPUGO III
,AKPUGO IV
,UMUEZE
,IBITE AKEGBE UGWU
,UWANI (AKPUGU I)
,
NSUKKA,OGBOZALLA/IDI
,IBEKU
,ALOR-UNO
,EDE-UKWU
,EDE-NTA
,EDE-ANI
,AKPA/OZZI
,AGBEMERE/UMABOR
,EHA-UNO
,EHA-NDIAGU
,IBAGWANI/IBAGWAGA OKPALIGBO
,EJUONA/UWANI
,AKALITE
,MKPUNANO
,IHE
,NNU
,OWERRE/UMUOYO
,OBIMO/IKWOKA
,OKPUJE/OKUTU ANU
,OBUKPA
,
OJI-RIVER,OJI-RIVER I
,OJI-RIVER II
,OJI-RIVER III
,OJI-RIVER IV
,UGWUOBA I
,UGWUOBA II
,UGWUOBA III
,ACHIAGU I
,ACHIAGU II
,ACHIAGU III
,ACHIUNO I
,ACHIUNO II
,ACHIUNO III
,ACHIUNO IV
,INYI  1
,INYI 11
,INYI 111
,INYI  IV
,AWLAW
,AKPUGO-EZE
,
UDENU,AMALA
,EZIMO
,IMILIKE
,OBOLLO-AFOR
,OBOLO-ETITI
,OBOLLO-EKE
,OGBODU-ABA
,ORBA 1
,ORBA 11
,UDENEDEM
,
UDI,UDI/AGBUDU
,NSUDE
,UMUAGA
,UMUABI
,OBINAGU
,NACHI
,ABIA
,NGWO ASA
,NGWO UNO
,EBE
,AWHUM/UKANA
,EGEDE/UMUOKA
,AKPAWUME/NZE
,AFFA/OGHU/IKONO
,ABOR
,OKPATU
,OBIOMA
,UMULUMGBE
,EKE
,AMOKWE
,
UZO-UWANI,IGGA-ASABA
,ADABA-NKUME
,UMULOKPA
,AKPATA
,OJO
,ADANI
,OGURUGU
,ABBI
,AKPUGO
,UVURU
,NIMBO 1
,NIMBO  11
,UGBENE 1
,UGBENE  11
,NROBO
,NKPOLOGU
,
AKKO,AKKO
,GARKO
,KALSHINGI
,KASHERE
,KUMO CENTRAL
,KUMO EAST
,KUMO NORTH
,KUMO WEST
,PINDIGA
,TUMU
,TUKULMA
,
BALANGA,BAMBAM
,LUNGUDA
,DADIYA
,GELENGU/BALANGA
,KINDIYO
,KULANI/DEGRI/SIKKAM
,MWONA
,NYUWAR/JESSU
,SWA/REF/GASI/W.WAJA
,TALASEE/DONG/REME
,
BILLIRI,BANGANJE NORTH
,BANGANJE  SOUTH
,BARE
,BILLIRI  NORTH
,BILLIRI  SOUTH
,KALMAI
,TAL
,TANGLANG
,TODI
,TUDU  KWAYA
,
DUKKU,GOMBE ABBA
,HASHIDU
,JAMARI
,KUNDE
,LAFIYA
,MALALA
,WAZIRI NORTH
,WAZIRI  CENTRAL SOUTH
,WURO TALE
,ZANGE
,ZAUNE
,
FUNAKAYE,ASHAKA/MAGABA
,BAGE
,BAJOGA WEST
,BAJOBA  EAST
,BODOR/TILDE
,JILLAHI
,KUPTO
,RIBADU
,TONGO
,WAWA/WAKKALTU
,
GOMBE,AJIYA
,BAJOGA
,BOLARI  EAST
,BOLARI  WEST
,DAWAKI
,HERWA GANA
,JEKADAFARI
,KUMBIYA KUMBIYA
,NASARAWA
,PANTAMI
,SHAMAKI
,
KALTUNGO,AWAK
,BULE/KALTIN
,KALTUNGO WEST
,KALTUNGO EAST
,KAMO
,TULA BAULE
,TULA WANGE
,TULA YIRI
,TUNGO
,TURE
,
KWAMI,BOJUDE
,DABA FULANI
,DOHO
,DUKUL
,GADAM
,JURARA
,KOMFULATA
,KWAMI
,MALAM-SIDI
,MALLERI
,
NAFADA,BARWO NASARAWA
,BARWO WINDE
,BIRIN BOLEWA
,BIRIN FULANI EAST
,BIRIN FULANI WEST
,GUDUKKU
,JIGAWA
,NAFADA CENTRAL
,NAFADA EAST
,NAFADA WEST
,
SHONGOM,BANGUNJI
,BOH
,BURAK
,FILIYA
,GUNDALE
,GWANDUM
,KULISHIM
,KUSHI
,LALIPIDO
,LAPAN
,
YAMALTU/DEBA,DEBA
,DIFA/LUBO/KINAFA
,GWANI/SHINGA/WADE
,HINNA
,JAGALI NORTH
,JAGALI SOUTH
,KANAWA/WAJARI
,KURI/LANO/LAMBAM
,KWADON/LIJI/KURBA
,NONO/KUNUWA/W.BIRD EKA
,ZAMBUK/KWALI
,
ABOH MBAISE,ENYIOGUGU
,NGURU-AHIATO
,NGURU-NWENKWO
,NGURU-NWEKE
,MBUTU
,UVURU I
,UVURU II
,LORJI
,AMUZU
,UMUHU
,LAGWA
,IBEKU
,
AHAIAZU MBAISE,OGBE
,OTULU/AGUNEZE
,ORU-NALUDE
,NNARAMBIA
,OKRIKA/NWENKWO
,AMUZI/IHENWORIE
,OKRIKA/NWEKE
,OBOHIA/EKWEREAZU TOWN
,MPAM
,OPARANADIM
,UMUNUMO/UMUCHIEZE
,OGBOR/UMUEZE
,
EHIME MBANO,AGBAJA
,UMUKABIA
,NSU ‘A’ IKPA
,NSU ‘B’ IHITTE
,NZEREM/IKPEM
,UMUALUMAKU/UMUIHIM
,UMUNAKANU
,UMUNUMO
,UMUEZEALA
,UMUEZE I
,UMUEZE II/UMUELEKE
,
EZINIHITTE MBAISE,AMUMARA
,ITU
,OKPOFE/EZIAGBOGU
,ONICHA I
,ONICHA II
,ONICHA III
,ONICHA IV
,EZIUDO
,UDO-NA-OBIZI
,IHITTE
,OBOAMA/UMUNAMA
,AKPODIM/IFE/CHOKONEZ E
,
IDEATO NORTH,AKPULU
,ISIOKPO
,UMUOKWARA/UMUEZEAG A
,AKWU OWERRE
,UMUOPIA/UMUKEGWU
,NDI IHEME
,ARONDIZUOGU
,IZUOGU I
,NDIMOKO
,OSINA
,UZINA/UMUALOMA
,EZEMAZU/OZU
,OZUAKOLI/UMUAGO
,IZUOGU II
,
IDEATO SOUTH,AMANATOR/UMUESHI
,DIKENAFAI
,ISIEKENESI I
,ISIEKENESI II
,NTUEKE
,UGBELLE
,OBIOHIA
,OGBOKO I
,OGBOKO II
,UMUAKAM/UMUAGO
,UMUCHIMA
,UMUMAISIAKU
,UMUOBOM
,
IHITTE/UBOMA (ISINWEKE),ABUEKE
,AMAKOHIA
,AMAINYI
,ATONERIM
,AWUCHINUMO
,DIMNEZE
,IKPEREJERE
,OKPATA
,UMUEZEGWU
,UMUIHI
,
IKEDURU (IHO),AKABO
,AMATTA
,IHO
,INYISHI/UMUDIM
,AMAIMO
,AMAKOHIA
,AVUVU
,ATTA I
,ATTA II
,UGIRIKE/OKWU/EZIAMA
,NGUGO/IKEMBARA
,UZOAGBA
,
ISIALA MBANO (UMUELEMAI),AMARAKU
,UMUNKWO
,OGBOR
,IBEME
,OSU-OWERRE I
,OSU-OWERRE II
,OSUAMA/ANARA
,UGIRI/OKA
,AMAUZARI
,OBOLLO
,UMUOZU
,OSU-ACHARA
,
ISU (UMUNDUGBA),AMANDUGBA I
,AMANDUGBA II
,UMUNDUGBA I
,UMUNDUGBA II
,AMURIE OMANZE I
,AMURIE OMANZE II
,EKWE I
,EKWE II
,ISU-NJABA I
,ISU-NJABA II
,ISU-NJABA III
,
MBAITOLU (NWAORIEUBI),AFARA/EZIAMA
,OGBAKU
,UMUNOHA/AZARA
,UBOMIRI
,IFAKALA
,OGWA I
,OGWA II
,ORODO ‘A’
,ORODO ‘B’
,UMUNWOHA/UMUAGWU MBIERI
,AMAIKE MBIERI
,EZINIHITTE MBIERI
,
NGOR OKPALA (UMUNEKE),AMALA/ALULU/OBURU/O BOKWE/NTU
,ELELEM/OBIKE
,OZUZU
,EZIAMA/OKPALA
,IMERIENWE
,NGURU/UMUOWA
,NGOR/IHITTE/UMUKABI A
,OHEKELEM/NNORIE
,UMUHU
,OBIANGWU
,LOGARA/UMUOHIAGU
,
NJABA (NNENASA),ATTA I
,ATTA II
,ATTA III
,AMUCHA I
,AMUCHA II
,NKUME
,OKWUDOR
,UMUAKA I
,UMUAKA II
,UMUAKA III
,UMUAKA IV
,
NWANGELE (ONUNWANGELE) AMAIGBO,AMANO/UMUDURUMBA WARD (AMAIGBO I)
,UMUANU COMMUNITY WARD (AMAIGBO II)
,AMAJU COMMUNITY WARD (AMAIGBO III)
,AMAMNAISI (AMAIGBO IV)
,EZEOBOLO/OFEAHIA/DU RUOHA/UMUKABIA (AMAIGBO WARD V)
,ABBA WARD
,UMUOZU WARD
,KARA-NA-ORLU
,DIM-NA-NUME
,ABAJAH WARD I
,ABAJAH WARD II
,
NKWERRE,ONUSA
,NNANANO (NKWERRE II)
,UMUKOR (NKWERRE III)
,NKWERRE IV (UMUNUBO/UMUNACHI)
,NKWERRE V
,OWERRE V
,OWERRI NKWORJI I
,OWERRI NKWORJI II
,UMUDI/UMUWALA
,AMAOKPARA
,EZIAMA OBAIRE
,
OBOWO (OTOKO),ALIKE
,AMANZE/UMUNGWA
,AMUZI
,AVUTU
,EHUME
,ODENKUME/UMUOSOCH IE
,OKENALOGHO
,OKWUOHIA
,UMUARIAM/ACHARA
,UMUNACHI
,
OGUTA (OGUTA),AWA
,EGWE/EGBUOMA
,IZOMBE
,MBALA/UBA
,NDEULOUKWU/UMUOW ERE
,OBUDI/ARO
,OGUTA ‘A’
,OGUTA ‘B’
,ORU
,OSSEMOTO/ENUIGBO
,UWAORIE
,
OHAJI/EGBEMA (MMAHU EGBEMA),ASSA/OBILE
,AWAR/IKWEREDE
,EGBEMA ‘A’
,EGBEMA ‘B’
,EGBEMA ‘C’
,EGBEMA ‘D’
,EKWUATO
,OBITTI/MGBISHI
,OHOBA
,UMUAGWO
,UMUAPU
,
OKIGWE (OKIGWE),OKIGWE I
,OKIGWE II
,IHUBE
,AKU
,OGII
,EZINACHI
,UMUALUMUOKE
,AMURO
,NDIMOKO/OFEIMO/IBIN TA/OKANACHI/UMUOWA
,UMULOLO
,AGBOBU COMMUNITY
,
ONUIMO,EZIAMA
,UMUCHEKE
,OWERRE
,EZELU
,OFEAHIA/UMUANUMEZE
,ABOH/OKOHI
,OZIMO/UMUANUMEZE
,UMUNA
,OKWELLE I
,OKWELLE II
,
ORLU,OHAFOR/OKORO/UMUT ANZE
,OHAEKE/OKPORO
,EBENESE/UMUEZE/NNAC HI/IHIOMA
,OKWUA BALA/IHIOMA
,UMUNA
,UMUDIOKA
,IHITE OWERRE
,AMAIFEKE
,UMUZIKE/UMUOWA
,OWERRI EBEIRI
,EZIACHI/AMIKE
,OGBERURU/OBIBI
,ORLU/MGBEE/ORLU GOVT. STATION
,
ORSU (AWO IDEMILI),UMUHU OKABIA
,EBENATOR
,OKWUFURUAKU
,OKWUAMARAIHIE I
,OKWUAMARAIHIE II
,OKWUETITI
,ORSU IHITEUKWA
,IHITENANSA
,ASSAH UBIRIELEM
,EZIAWA
,AMARURU
,
ORU-EAST,AWO-OMAMMA I
,AWO-OMAMMA II
,AWO-OMAMMA III
,AWO-OMAMMA IV
,AMIRI I
,AMIRI II
,AKUMA
,AMAGU
,AKATA
,OMUMA
,
ORU-WEST (MGBIDI),NEMPI/ELEM
,OTULU
,AJI
,IBIASOEGBE
,AMAFUO
,OHAKPU
,OZARA
,UBULU
,MGBIDI I
,MGBIDI II
,
OWERRI-URBAN (OWERRI),ALADINMA I
,ALADINMA II
,IKENEGBU I
,IKENEGBU II
,AZUZI I
,AZUZI II
,AZUZI III
,AZUZI IV
,G.R.A
,NEW OWERRI I
,NEW OWERRI II
,
OWERRI NORTH (ORIE URATTA),AWAKA/IHITTE OGBADA
,NAZE
,EGBU
,EMMI
,IEMEKUKU I
,EMEKUKU II
,ORJI
,IHITTE OHA
,OBIBI-URATTA I
,OBIBI-URATTA II
,AGBAKA/OBUBE/ULAKW O
,OBIBIEZENA
,
OWERRI WEST (UMUGUMA),AVU/OFOROLA
,UMUGUMA
,OKUKU
,EMEABIAM/OKOLOCHI
,EZIOBODO
,IHIAGWA
,NEKEDE
,OBINZE
,AMAKOHIA- UBI/NDEGWU OHI
,IRETE/OROGWE
,
AUYO,AUYO
,AUYAKAYI
,AYAMA
,AYAN
,GAMAFOI
,GAMSARKA
,GATAFA
,KAFUR
,TSIDIR
,UNIK
,
BABURA,BABURA AREWA
,BATTALI
,DORAWA
,GARU
,GASAKOLI
,INSHARUWA
,JIGAWA
,KANYA
,KAZUN-ZUMI
,KYAMBO
,TAKWASA
,
BIRNIN-KUDU,B/KUDU
,KANTOGA
,SURKO
,WURNO
,LAFIYA
,KWANGWARA
,SUNDIMINA
,KIYAKO
,KANGIRE
,`YAIWAN DAMAI
,UNGUWAR’YA
,
BIRNIWA,BIRNIWA
,DANGWALERI
,DIGINSA
,FAGI
,KACHALLARI
,KARANKA
,KAZURA
,MACHINAMARI
,MATAMU
,NGUWA
,
BUJI,AHOTO
,BUJI
,CHURBUN
,GANTSA
,FULAGERI
,KAWAYA
,KUKUMA
,K/LELEN KUDU
,MADABE
,YAYARIN TUKUR
,
DUTSE,ABAYA
,CHAMO
,DUNDUBUS
,DURU
,JIGAWAR TSADA
,KACHI
,KARNAYA
,KUDAI
,LIMAWA
,MADOBI
,SAKWAYA
,
GARKI,BUDURU
,DOKO
,GARKI
,GWARZON GARKI
,JIRIMA
,KANYA
,KARGO
,KORE
,MUKU
,RAFIN MARKE
,SIYORI
,
GAGARAWA,GAGARAWA GARI
,GAGARAWA TASHA
,GARIN CHIROMA
,KORE BALATU
,MADAKA
,MAI’ADUWA
,MAIKILILI
,MEDU
,YALAWA
,ZARADA
,
GUMEL,BAIKARYA
,DAN’AMA
,DANTAROMA
,GALAGAMMA
,GARIN GAMBO
,GARIN BARKA
,GUSAU
,HAMMADO
,K/AREWA
,K/YAMMA
,ZANGO
,
GURI,ABUNABO
,ADIYANI
,DAWA
,GARBAGAL
,GURI
,KADIRA
,LAFIYA
,MARGADU
,MATARA BABBA
,MUSARI
,
GWARAM,BASIRKA
,DINGAYA
,FAGAM
,DINGAYA
,GWARAM TSOHUWA
,KILA
,KWANDIKO DUTSE
,MARUTA
,SARA
,TSANGARWA
,ZANDAN NAGOGO
,
GWIWA,BUNTUSU
,DABI
,DARINA
,FIRJIN YAMMA
,GUNTAI
,GWIWA
,KORAYAL
,RORAU
,SHAFE
,YOLA
,TSANGARWA
,
HADEJIA,ATAFI
,DUBANTU
,GAGULMARI
,KASUWAR KUDA
,KASUWAR KOFA
,MAJEMA
,MATASARO
,RUMFA
,SABONGARU
,KASUWAR KUDA
,YAYARI
,
JAHUN,AUJARA
,GANGAWA
,GAUZA TAZARA
,GUNKAHARBO SABUWA
,HARBO SABUWA
,HARBO TSOHUWA
,IDANDUNA
,JABARNA
,JAHUN
,KALE
,KANWA
,
KAFIN-HAUSA,BULANGU
,DUMADUMIN TOKA
,GAFAYA
,JABO
,KAFIN-HAUSA
,KAZALEWA
,MAJAWA
,MEZAN
,RUBA
,SARAWA
,ZAGO
,
KAUGAMA,ARBUS
,ASKANDU
,DABUWARAN
,DAKAIYAWA
,HADIN
,JA’E
,JARKASA
,KAUGAMA
,ASKANDU
,UNGUWAR JIBRIN
,YALO
,
KAZAURE,DABA
,DABAZA
,DANDI
,GADA
,KANTI
,MARADAWA
,SABARU
,UNGUWAR AREWA
,UNGUWA GABAS
,UNGUWAR YAMMA
,
K/KASAMMA,BATURIYA
,BULUNCHAI
,DOLERI
,FANDUM
,GAYIN
,KIRIKASAMMA
,MADACHI
,MARMA
,TASHEGUWA
,TURABU
,
KIYAWA,ABALAGO
,ANDAZA
,FAKE
,GARKO
,GURDUBA
,KATANGA
,KATUKA
,KIYAWA
,KWANDA
,MAJE
,TSURMA
,
MAIGATARI,BALARABE
,DANKUMBO
,FULATA
,GALADI
,JAJERI
,KUKAYASKU
,MADANA
,MAIGATARI AREWA
,MAIGATARI KUDU
,MATOYA
,TURBUS
,
M/MADORI,ARKI
,DUNARI
,FATEKA /AKURYA
,GARIN-GABAS
,MAIRAKUMI
